recId;aut;title;place;publ;yea;lan;rubrics;person;serial;material;biblevel;ager
228;;Физика;Москва;Проспект;2010;rus;Физика;;;Текст. материал;Монография;
229;Громцева Ольга Ильинична;ЕГЭ 2009. Физика.Типовые тестовые задания;Москва;Экзамен;2009;rus;Физика;;;Текст. материал;Монография;
231;;ЕГЭ-2008. Физика;Москва;Эксмо;2008;rus;Физика;;Репетитор : Интенсивная подготовка;Текст. материал;Монография;
233;Касаткина Ирина Леонидовна;Задачи по физике;Ростов-на-Дону;Феникс;2008;rus;Физика;;Абитуриент;Текст. материал;Монография;
234;Кэрролл Шон Майкл;Частица на краю Вселенной;Москва;БИНОМ. Лаборатория знаний;2015;rus;Физика атомного ядра и элементарных частиц;;Universum;Текст. материал;Монография;16+
235;Млодинов Леонард;Радуга Фейнмана;Москва;Livebook;2015;rus;Физика;;;Текст. материал;Монография;12+
236;Касаткина Ирина Леонидовна;Репетитор по физике;Ростов-на-Дону;Феникс;2010;rus;Физика;;Абитуриент;Текст. материал;Монография;
237;Перельман Яков Исидорович;Занимательные задачи и опыты;Екатеринбург;Лектон;1995;rus;Физика : Математика;;;Текст. материал;Монография;
238;Перельман Яков Исидорович;Занимательная физика;Москва;Триада-Литера;1994;rus;Физика;;;Текст. материал;Монография;
239;Перельман Яков Исидорович;;;;1994;rus;Физика;;;Текст. материал;Монография;
240;Перельман Яков Исидорович;Знаете ли вы физику?;Москва;Центрполиграф;2010;rus;Физика;;Азбука науки для юных гениев;Текст. материал;Монография;
241;Трофимова Таисия Ивановна;Справочник школьника по физике;Москва;Дрофа;1996;rus;Физика;;;Текст. материал;Монография;
242;;Иностранная литература;Москва;Иностранная литература;1955-;rus;Художественная литература;;;Текст. материал;Периодика;16+
243;;Иностранная литература;;;2018;rus;Художественная литература;;;Текст. материал;Монография;16+
246;Ашкрофт Н.;Физика твердого тела;Москва;Мир;1979;rus;Физика твердого тела. Кристаллография;;;Текст. материал;Монография;
247;Безденежных Евгений Александрович;Физика;Москва;Медицина;1978;rus;Физика;;;Текст. материал;Монография;
252;Соколовская Наталия Евгеньевна;Любовный канон;Санкт-Петербург;Азбука;2011;rus;Художественная литература;;;Текст. материал;Монография;
253;Смолл Бертрис;Снова любить;Москва;Крон-Пресс;1995;rus;Художественная литература;;Звезда любви;Текст. материал;Монография;
255;Смолл Бертрис;В объятиях ветра;Москва;Крон-Пресс;1996;rus;Художественная литература : Зарубежная проза;;Любовный роман;Текст. материал;Монография;
256;Смолл Бертрис;Чертовка;Москва;Крон-Пресс;1996;rus;Художественная литература;;Любовный роман;Текст. материал;Монография;
257;Смолл Бертрис;Мое сердце;Москва;Крон-Пресс;1995;rus;Художественная литература;;Шарм;Текст. материал;Монография;
258;Смолл Бертрис;Любовь дикая и прекрасная;Москва;Крон-Пресс;1995;rus;Художественная литература;;;Текст. материал;Монография;
261;Буздин Александр Иванович;Раз задача, два задача...;Москва;Наука;1990;rus;Физика;;"Библиотечка ""Квант""";Текст. материал;Монография;
262;Григорьян Ашот Тигранович;Механика в России;Москва;Наука;1978;rus;Механика;;;Текст. материал;Монография;
263;Гомонова Аллина Ивановна;Физика. Механика;Москва;Экзамен;1998;rus;Механика;;;Текст. материал;Монография;
264;;Свадебный наряд;Москва;АСТ;2004;rus;Художественная литература;;;Текст. материал;Монография;
266;Петровский Иван Георгиевич;Лекции по теории интегральных уравнений;Москва;Издательство Московского государственного университета им. М. В. Ломоносова;1984;rus;Математический анализ.Функциональный анализ;;;Текст. материал;Монография;
267;Сафарли Эльчин;Рецепты счастья;Москва;АСТ;2014;rus;Художественная литература;;Бестселлеры Эльчина Сафарли;Текст. материал;Монография;16+
268;Сафарли Эльчин;Когда я вернусь, будь дома;Москва;АСТ;2017;rus;Художественная литература;;Бестселлеры Эльчина Сафарли;Текст. материал;Монография;16+
269;Гомонова Аллина Ивановна;Задачи по физике;Москва;Экзамен;1998;rus;Физика;;Экзамен;Текст. материал;Монография;
270;Сеттерфилд Диана;Тринадцатая сказка;Санкт-Петербург;Азбука , Азбука-Аттикус;2016;rus;Художественная литература;;The Big Book;Текст. материал;Монография;16+
271;Гомонова Аллина Ивановна;Физика. Молекулярная физика. Электричество и магнетизм. Оптика;Москва;Экзамен;1998;rus;Физика;;;Текст. материал;Монография;
272;Сатклифф Уильям;Дурное влияние;Москва;Фантом Пресс;2006;rus;Художественная литература;;The Best of Рhantom;Текст. материал;Монография;
275;Садловская Мария;Твоя любовь сильнее смерти;Москва;Эксмо;2017;rus;Художественная литература;;Линия жизни;Текст. материал;Монография;
276;Лавриненко Мария;О чем мечтают все;Москва;АСТ;2008;rus;Художественная литература;;;Текст. материал;Монография;
277;Робертс Нора;Сокровища Айседоры;Москва;Эксмо;2010;rus;Художественная литература;;;Текст. материал;Монография;
278;Ростен Мишель;Звезда и старуха;Москва;Эксмо;2015;rus;Художественная литература;;Интеллектуальный бестселлер;Текст. материал;Монография;
280;Рощина Наталия Анатольевна;Спасение во лжи;Москва;АСТ;2005;rus;Художественная литература;;;Текст. материал;Монография;
281;Рощина Наталия Анатольевна;Какого цвета любовь?;Москва : Харьков;АСТ , Фолио;;rus;Художественная литература;;Русский романс;Текст. материал;Монография;
282;Крыжановская Вера Ивановна;Габриэль;Краснодар;Советская Кубань , Дримлэнд;1994;rus;Художественная литература;;;Текст. материал;Монография;
283;Саттон Генри;Вуайеры: Свидетели любви/Г.Саттон. Последнее танго в Париже/Р.Элли;Минск;Белфакс;1993;rus;Художественная литература;;;Текст. материал;Монография;
285;Роули Стивен;Лили и осьминог;Москва;Эксмо;2017;rus;Художественная литература;;Тот, кто не предаст. Люди и их питомцы;Текст. материал;Монография;16+
286;Гулиа Нурбей Владимирович;Инерция;Москва;Наука;1982;rus;Механика;;;Текст. материал;Монография;
287;Стил Даниэла;Беттина;Москва;Крон-Пресс;1995;rus;Художественная литература : Зарубежная проза;;Звезда любви;Текст. материал;Монография;
288;Би Фэйюй;Лунная опера;Санкт-Петербург;Азбука;2014;rus;Художественная литература : Проза;;Азбука Premium;Текст. материал;Монография;16+
290;Стил Даниэла;Перемены;Москва;Крон-Пресс;1995;rus;Художественная литература;;Иллюзион;Текст. материал;Монография;
291;Стил Даниэла;Огни Юга;Москва;АСТ;2013;rus;Художественная литература;;;Текст. материал;Монография;
292;Стил Даниэла;Ранчо;Москва;Эксмо;2014;rus;Художественная литература;;Мировой мега-бестселлер;Текст. материал;Монография;
293;Стил Даниэла;Отныне и вовек;Москва;Эксмо;2014;rus;Художественная литература;;Мэри Хиггинс Кларк. Мировой мега-бестселлер;Текст. материал;Монография;
294;Диментберг Федор Менасьевич;Вибрация в технике и человек;Москва;Знание;1987;rus;Механика;;;Текст. материал;Монография;
295;Уэдсли Оливия;Аристократка и бродяга;Москва;Эксмо;2013;rus;Художественная литература;;;Текст. материал;Монография;
296;Стил Даниэла;"Хочу ""Оскар""!";Москва;Эксмо;2007;rus;Художественная литература;;;Текст. материал;Монография;
297;Стил Даниэла;Злой умысел;Москва;Крон-Пресс;1996;rus;Художественная литература : Зарубежная проза;;Звезда любви;Текст. материал;Монография;
298;Стил Даниэла;Секреты;Москва;Эксмо , Крон-Пресс;1994;rus;Художественная литература;;Баттерфляй;Текст. материал;Монография;
299;Стил Даниэла;Вдали от дома;Москва;Крон-Пресс;1996;rus;Художественная литература;;Звезда любви;Текст. материал;Монография;
300;Стил Даниэла;Конец лета;Москва;Крон-Пресс;1996;rus;Художественная литература;;Звезда любви;Текст. материал;Монография;
302;Стил Даниэла;Удар молнии;Москва;Крон-Пресс;1996;rus;Художественная литература;;Звезда любви;Текст. материал;Монография;
303;Стил Даниэла;Благословение;Москва;Крон-Пресс;1996;rus;Художественная литература : Зарубежная проза;;Звезды любви;Текст. материал;Монография;
304;Стил Даниэла;Замкнутый круг;Москва;Крон-Пресс;1996;rus;Художественная литература;;Звезда любви;Текст. материал;Монография;
306;Стил Даниэла;Пять дней в Париже;Москва;Крон-Пресс;1996;rus;Художественная литература;;Звезда любви;Текст. материал;Монография;
307;Стил Даниэла;Жажда странствий;Москва;Крон-Пресс;1996;rus;Художественная литература : Зарубежная проза;;Звезда любви;Текст. материал;Монография;
309;Степановская Ирина;Вслед за Ремарком;Москва;АСТ;2005;rus;Художественная литература;;;Текст. материал;Монография;
312;Петрова Ирина Викторовна;Проценты на все случаи жизни;Челябинск;Южно-Уральское книжное издательство;1996;rus;Математика;;;Текст. материал;Монография;
313;Стил Даниэла;Нет сильнее любви...;Москва;Крон-Пресс;1996;rus;Художественная литература;;Звезда любви;Текст. материал;Монография;
315;Стил Даниэла;Начать сначала;Москва;Крон-Пресс;1996;rus;Художественная литература;;;Текст. материал;Монография;
316;Сотников И. М.;Загробный бизнес;Москва;Эксмо;1996;rus;Художественная литература;;Ягуар;Текст. материал;Монография;
317;Спаркс Николас;Послание в бутылке;Москва;АСТ;2014;rus;Художественная литература : Зарубежная проза;;;Текст. материал;Монография;
318;Спаркс Николас;Выбор;Москва;АСТ;2014;rus;Художественная литература;;Романтика любви;Текст. материал;Монография;
319;Тихонов Андрей Николаевич;Вводные лекции по прикладной математике;Москва;Наука;1984;rus;Вычислительная математика;;;Текст. материал;Монография;
321;Стюарт Алан;Фиктивный брак;Москва;Локид;1996;rus;Художественная литература;;;Текст. материал;Монография;
322;Таунсенд Сьюзан;Ковентри возрождается;Москва;Фантом Пресс;2015;rus;Художественная литература;;;Текст. материал;Монография;18+
325;Стюарт Мэри;И девять ждут тебя карет;Москва : Санкт-Петербург;Эксмо , Домино;;rus;Художественная литература;;"Женский клуб ""Mona Lisa""";Текст. материал;Монография;
326;Силин Аскольд Александрович;Трение и мы;Москва;Наука;1987;rus;Механика;;"Библиотечка ""Квант""";Текст. материал;Монография;
327;Тессаро Кэтлин;Дебютантка;Санкт-Петербург;Азбука , Азбука-Аттикус;2015;rus;Художественная литература;;Сто оттенков любви;Текст. материал;Монография;
329;Троллоп Джоанна;Разум и чувства;Москва;Слово/Slovo;2013;rus;Художественная литература;;;Текст. материал;Монография;
331;Шебалин Олег Дмитриевич;Физические основы механики и акустики;Москва;Высшая школа;1981;rus;Механика;;;Текст. материал;Монография;
334;Уэйр Элисон;Плененная королева;Санкт-Петербург;Азбука , Азбука-Аттикус;2015;rus;Художественная литература : Зарубежная проза;;Женские тайны;Текст. материал;Монография;16+
335;Ферранте Элена;Моя гениальная подруга. Детство, отрочество;Москва;Синдбад;2017;rus;Художественная литература;;;Текст. материал;Монография;16+
337;Стасенко Альберт Леонидович;Физика полета;Москва;Наука;1988;rus;Механика;;"Библиотечка ""Квант""";Текст. материал;Монография;
338;Фукс Катарина;;;;1994;rus;Художественная литература;;;Текст. материал;Монография;
340;Хилпатрик Джулия;Ретт Батлер;Москва;АСТ;1994;rus;Художественная литература;;Голливуд;Текст. материал;Монография;
347;Хейер Джорджетт;Черная моль , Картежница;Москва;Сантакс-Пресс;1997;rus;Художественная литература;;Флирт;Текст. материал;Монография;
349;Харт Кристофер;Ослепление;Москва;ОЛМА-Пресс;1995;rus;Художественная литература;;;Текст. материал;Монография;
350;Харт Кристофер;Неотразимая;Москва;ОЛМА-Пресс;1995;rus;Художественная литература;;Волшебный Купидон;Текст. материал;Монография;
351;Харт Кэтрин;Падший ангел;Москва;ОЛМА-Пресс;1995;rus;Художественная литература;;Волшебный Купидон;Текст. материал;Монография;
353;Зорич Александр Владимирович;Боевая машина любви;Москва;Центрполиграф;2001;rus;Художественная литература : Фантастика;;Перекресток богов;Текст. материал;Монография;
354;Хэнкок Пенни;Проклятие темных вод;Санкт-Петербург;Азбука , Азбука-Аттикус;2014;rus;Художественная литература;;The Big Book;Текст. материал;Монография;
356;Хесс Нора;Сэйдж;Смоленск;Русич;1995;rus;Художественная литература;;Алая Роза;Текст. материал;Монография;
357;Кордоньер Мари;Опасная леди , Серебряный огонь;Москва;Панорама;1994;rus;Художественная литература;;Библиотека любовного и авантюрного романа;Текст. материал;Монография;
359;Ханна Кристин;Светлячок надежды;Москва;Иностранка;2014;rus;Художественная литература;;#1 New York Times Вestselling Аuthor;Текст. материал;Монография;
360;Фукс Катарина;;;;1993;rus;Художественная литература;;;Текст. материал;Монография;
361;Александров Алексей;Знамя химеры;Москва;Армада , Альфа-книга;2008;rus;Художественная литература : Фантастика;;Фантастический боевик;Текст. материал;Монография;
362;Фолкс Себастьян;И пели птицы...;Москва;Синдбад;2014;rus;Художественная литература;;;Текст. материал;Монография;16+
368;Холт Виктория;Мадонна Семи Холмов,Опороченная Лукреция;Москва;Сантакс;1994;rus;Художественная литература;;;Текст. материал;Монография;
371;Холт Виктория;Чертополох и роза,Королева Иезавель;Москва;Сантакс-Пресс;1995;rus;Художественная литература;;;Текст. материал;Монография;
372;Баштовая Ксения Николаевна;Маленьких все обидеть норовят!;Москва;Армада , Альфа-книга;2008;rus;Художественная литература;;;Текст. материал;Монография;
373;Головачев Василий Васильевич;Нечеловеческий фактор;Москва;Эксмо;2013;rus;Художественная литература;;Абсолютное оружие;Текст. материал;Монография;
374;Ховард Линда;Лицо из снов;Москва;АСТ;1996;rus;Художественная литература;;;Текст. материал;Монография;
376;Головачев Василий Васильевич;Бой не вечен!;Москва;Эксмо;2000;rus;Художественная литература;;Абсолютное оружие;Текст. материал;Монография;
377;Чемберлен Диана;Огонь и дождь;Москва;ОЛМА-Пресс;1995;rus;Художественная литература;;;Текст. материал;Монография;
379;Судакова Алена;Любой каприз;Минск;Букмастер;2014;rus;Художественная литература;;Современный роман о любви;Текст. материал;Монография;
381;Торн Ален;Поединок страсти;Москва;АСТ;1996;rus;Художественная литература;;;Текст. материал;Монография;
384;Хилпатрик Джулия;Мы назовем ее Скарлетт...;Минск;БАДППР;1994;rus;Художественная литература;;Hollywood;Текст. материал;Монография;
386;Хейер Джорджетт;Пистолеты для двоих , Сильвестр;Москва;Сантакс-Пресс;1997;rus;Художественная литература;;Флирт. Романы о любви;Текст. материал;Монография;
387;Громыко Ольга Николаевна;Год крысы. Видунья;Москва;Армада , Альфа-книга;2009;rus;Художественная литература;;Магия фэнтези;Текст. материал;Монография;
